MatchNumber,DateUTC,DateChina,Group,GroupRound,Home,Away,Stage,HostAdvantage,Stadium,City
53,2026-06-25T01:00:00Z,2026-06-25 09:00,Group A,3,Czechia,Mexico,Group,-1,Mexico City Stadium,Mexico City
54,2026-06-25T01:00:00Z,2026-06-25 09:00,Group A,3,South Africa,South Korea,Group,0,Monterrey Stadium,Monterrey
55,2026-06-25T20:00:00Z,2026-06-26 04:00,Group E,3,Curaçao,Ivory Coast,Group,0,Philadelphia Stadium,Philadelphia
56,2026-06-25T20:00:00Z,2026-06-26 04:00,Group E,3,Ecuador,Germany,Group,0,New York/New Jersey Stadium,New Jersey
57,2026-06-25T23:00:00Z,2026-06-26 07:00,Group F,3,Japan,Sweden,Group,0,Dallas Stadium,Dallas
58,2026-06-25T23:00:00Z,2026-06-26 07:00,Group F,3,Tunisia,Netherlands,Group,0,Kansas City Stadium,Kansas City
59,2026-06-26T02:00:00Z,2026-06-26 10:00,Group D,3,Turkey,USA,Group,-1,Los Angeles Stadium,Los Angeles
60,2026-06-26T02:00:00Z,2026-06-26 10:00,Group D,3,Paraguay,Australia,Group,0,San Francisco Bay Area Stadium,San Francisco Bay Area
61,2026-06-26T19:00:00Z,2026-06-27 03:00,Group I,3,Norway,France,Group,0,Boston Stadium,Boston
62,2026-06-26T19:00:00Z,2026-06-27 03:00,Group I,3,Senegal,Iraq,Group,0,Toronto Stadium,Toronto
63,2026-06-27T03:00:00Z,2026-06-27 11:00,Group G,3,Egypt,Iran,Group,0,Seattle Stadium,Seattle
64,2026-06-27T03:00:00Z,2026-06-27 11:00,Group G,3,New Zealand,Belgium,Group,0,BC Place Vancouver,Vancouver
65,2026-06-27T00:00:00Z,2026-06-27 08:00,Group H,3,Cape Verde,Saudi Arabia,Group,0,Houston Stadium,Houston
66,2026-06-27T00:00:00Z,2026-06-27 08:00,Group H,3,Uruguay,Spain,Group,0,Guadalajara Stadium,Guadalajara
67,2026-06-27T21:00:00Z,2026-06-28 05:00,Group L,3,Panama,England,Group,0,New York/New Jersey Stadium,New Jersey
68,2026-06-27T21:00:00Z,2026-06-28 05:00,Group L,3,Croatia,Ghana,Group,0,Philadelphia Stadium,Philadelphia
69,2026-06-28T02:00:00Z,2026-06-28 10:00,Group J,3,Algeria,Austria,Group,0,Kansas City Stadium,Kansas City
70,2026-06-28T02:00:00Z,2026-06-28 10:00,Group J,3,Jordan,Argentina,Group,0,Dallas Stadium,Dallas
71,2026-06-27T23:30:00Z,2026-06-28 07:30,Group K,3,Colombia,Portugal,Group,0,Miami Stadium,Miami
72,2026-06-27T23:30:00Z,2026-06-28 07:30,Group K,3,DR Congo,Uzbekistan,Group,0,Atlanta Stadium,Atlanta
